id,name,description,code,category,tag
11,Rafting Adventure,Prevent the young man from slamming into the shores of this gorgeous but deadly canyon.,Rafting_Adventure,Racing,"Rafting Adventure, Adventure Game, Water Sports, Rafting Simulator, Outdoor Exploration, River Adventure, Extreme Sports, Multiplayer Adventure, Nature-Themed Game, Action-Packed Gameplay, Teamwork and Strategy"
12,Bouncing Beasts,"Help the animals hop from one twig to the other, without letting the rings touch the wood!",Bouncing_beasts,Arcade,"Bouncing Beasts, Arcade Game, Casual Game, Fun Gameplay, Mobile Game, Physics-Based Game, Adventure Game, Family-Friendly, Puzzle Game, Addictive Gameplay, Beast Characters, Jumping Game, Entertainment, Skill-Based Game, Colorful Graphics"
13,Rescue Juliet,Help Romeo find his way to Juliet in this puzzle game. Love and mind games have an old connect!,Rescue_Juliet,Logic,"Rescue Juliet, Puzzle Game, Adventure Game, Strategy Game, Brain Teaser, Escape Game, Princess Rescue, Casual Gaming, Mobile Game, Hero Adventure, Interactive Gameplay"
14,1212!,Don't let the grid fill up! Fit all the pieces in this brain challenging puzzle game!,1212_1212,Logic,"Rescue 1212, Adventure Game, Action-Packed, Puzzle Game, Survival Game, Mission-Based Game, Strategy Game, Heroic Rescue, Challenging Levels, Immersive Gameplay, Family-Friendly Game, Interactive Storyline"
15,Bottle Shoot,Bring out the cowboy in you and keep a level head while you shoot down as many bottles as you can. Keep an eye out for the red ones!,Bottle_Shoot,Action,"Rescue Bottle Shoot, Shooting Game, Target Practice, Bottle Shooting, Arcade Game, Action Game, Precision Shooting, Fun Gameplay, Casual Gaming, Skill-Based Game"
16,Saucer Dodge,Wade through space and keep your space ship away from flying saucers.,Saucer_Dodge,Adventure,"Rescue Game, Saucer Dodge, Space Adventure, Dodge and Rescue, Action Game, Arcade Game, Skill-Based Game, UFO Escape, Fast-Paced Gameplay, Sci-Fi Game"
17,Pirate Hunt,"Protect your waters from the notorious pirates by hunting them one by one, but spare the hostages and keep an eye out for the bonus!",Pirate_Hunt,Action,"Pirate Hunt, Adventure Game, Treasure Hunt, Pirate Adventure, Action Game, Naval Combat, Exploration, Multiplayer Game, Open World, Strategy Game, Sea Battles, Pirate Ship, Quest Game, Treasure Maps, Pirate-Themed Game"
18,Let's Go Fishing,Become a fishing master by capturing maximum number of yummy fish in this adventure game.,Lets_Go_Fishing,Racing,"Fishing Game, Let's Go Fishing, Casual Game, Family Game, Kids Game, Outdoor Activity Game, Fishing Toys, Interactive Play, Fun Game for Kids, Skill-Based Game, Classic Fishing Game"
19,Sway Bay,"Jump from stump to stump, but keep an eye out. The jungle ropes aren't known to be forgiving!",Sway_Bay,Adventure,"Sway Bay, Mobile Game, Casual Game, Adventure Game, Puzzle Game, Arcade Game, Fun Gameplay, Game App, Gaming Experience, Interactive Game, Game Development"
20,Robotion,Rusty robots work in sets of two and are too old to move. Connect the right pair across 100s of levels!,Robotion,Logic,"Robotion Game, Robot Game, Sci-Fi Game, Action Game, Adventure Game, Robot Battle, Futuristic Game, Arcade Game, Gaming, Robotic Adventure, Technology Game, Virtual World"
21,Holiday Cheers,"Fly over snowy landscapes as Santa, delivering presents to houses. Be careful, Santa must have a gift for each house!",Holiday_Cheers,Adventure,"Holiday Cheers, Christmas Game, Party Game, Festive Fun, Family Entertainment, Holiday Celebration, Winter Games, Seasonal Activities, Multiplayer Fun, Holiday Party Ideas"
22,Spinning Shooter,Test your marksmanship by shooting down boxes that come your way. Beware of surprises!,Spinning_Shooter,Arcade,"Spinning Shooter, Arcade Game, Shooting Game, Action Game, Fast-Paced Gameplay, Bullet Dodging, Skill-Based Game, High-Score Challenge, Endless Shooter, Rotating Gameplay, Casual Gaming, Mobile Shooter Game"
23,Twin Hop,This Jumper must always be the same color as the pillar it wants to jump on. Can you keep up?,Twin_Hop,Adventure,"Logic,Endless,Family,Kids,Arcade,Cute"
24,Spell Wizard,"Pitch your vocabulary and see how many words can you reveal with your spelling wizardry! No time limit, but don't look around.",Spell_Wizard,Strategy,"Spell Wizard, Magic Game, Fantasy Adventure, Spell Casting, Wizard Duel, Sorcery Game, Magical Powers, Role-Playing Game, Puzzle Adventure, Strategy Game, Fantasy Quest, Enchanted World, Wizard Battle, Spell Mastery, Magical Creatures"
25,Pizza Dash,"Pizza parties all around, dash through the traffic and deliver them time bound!",Pizza_Dash,Arcade,"Pizza Game, Food Delivery Game, Dash Game, Fast-Paced Arcade, Cooking Challenge, Time Management, Delivery Adventure, Casual Game, Fun Food Game, Speed and Strategy"
26,Sheep Stacking,It's time to stack some sheep! Drop them right and create the highest possible tower!,Sheep_Stacking,Arcade,"Sheep Stacking, Casual Game, Puzzle Game, Stacking Challenge, Animal Game, Fun Arcade, Tower Build, Balance Game, Cute Sheep, Mobile Game, Family-Friendly Game, Physics-Based Game, Skill Challenge"
27,Blazing Blades,It's time to set the stage on fire with the blaze of your Blades! Let's see how many boards you can smash without a miss?!,Blazing_Blades,Action,"Blazing Blades, Action RPG, Hack and Slash, Fantasy Combat, Sword Fighting, Multiplayer Adventure, Epic Battles, Role-Playing Game, Heroic Quests, Combat Strategy, PvP Gameplay, Fantasy World, Skill-Based Combat, Adventure Game, Battle Arena"
28,Dodgy,Dodge the incoming fireballs as they come hurling towards you from all four directions!,Dodgy,Arcade,"Dodgy Game, Endless Runner, Action Game, Reflex Game, Arcade, Fast-Paced, Obstacle Dodging, Casual Gaming, Skill-Based, Mobile Game"
29,Slap Fest,Attack! Retreat! Slap! Be quick and make your opponent scream in pain.,Slap_Fest,Action,"Slap Fest, Fun Party Game, Reaction Game, Multiplayer Game, Fast-Paced Game, Slap Challenge, Competitive Game, Casual Game, Arcade Game, Hand-Eye Coordination Game"
30,Don't Touch the Walls,"Be quick with your moves and navigate the maze without touching the walls! The longer you play without touching any of the walls, the more you score. Watch out for the turns!",Dont_Touch_the_Walls,Adventure,"Arcade Game, Avoidance Game, Skill Game, Reflex Challenge, Endless Runner, Obstacle Game, Touch Game, Fast-Paced Gameplay, Casual Game, Wall Avoidance, High Score Challenge, Minimalist Game Design"
31,Brick Plunge,Are you nostalgic of the timeless brick arranging game? Who isn't? You are in the right place!,Brick_Plunge,Strategy,"Brick Plunge, Game, Puzzle Game, Arcade, Brick Breaker, Casual Game, Retro Game, Block Game, Mobile Game, Game Design, Interactive Game, Classic Game, Action Game"
32,The Sea Lion Act,Here's a circus sea lion with a twitchy nose: balance as many objects on the beam as you can!,The_Sea_Lion_Act,Adventure,"The Sea Lion Act, Game, Animal Performance, Circus Game, Sea Lion Game, Marine Animal Game, Fun Gameplay, Animal Show, Interactive Game, Sea Life Game"
33,Traffic Command,The city crossing sees some insane traffic. Navigate the cars carefully without letting any crash.,Traffic_Command,Strategy,"Traffic Command, Traffic Control, Traffic Management, Car Game, Driving Simulation, Traffic Simulation, City Traffic, Traffic Game, Strategy Game, Road Management, Traffic Puzzle, Vehicle Control, Simulation Game, Car Racing"
34,Black Jack Grid,Here's Black Jack with a puzzling twist. Arrange cards horizontally and vertically to bring their sum to 21!,Black_Jack_Grid,Logic,"Black Jack Grid, Card Game, Casino, Blackjack, Game Design, Gambling, Casino Game, Card Grid, Game Layout, Table Game, Gambling Game, Blackjack Grid, Game Interface, Card Strategy, Casino Design"
35,Watch The Walls,Little bee needs your help in avoiding the spikes as she makes her way inside a massive beehive.,Watch_The_Walls,Arcade,"Watch The Walls, game, puzzle, strategy, adventure, interactive, immersive, maze, walls, challenge, escape, obstacles, gameplay, mobile game, brain teaser, 3D game, suspense, action, tense, gameplay mechanics, thrill"
36,Kingdom Fight,"Monsters are coming in. Use arrows, electric bolts, fire catapults, and time warpers - build a defense for your kingdom. New maps every day!",Kingdom_Fight,Strategy,"Kingdom Fight, game, action game, medieval combat, strategy game, RPG, battle game, fantasy game, kingdom warfare, epic battles, warrior game, tactical combat, fighting game, multiplayer game"
37,Shade Shuffle,Balance between the right and the left wheels so that their colours match with the balls.,Shade_Shuffle,Arcade,"Shade Shuffle, game, puzzle, strategy game, board game, color matching, casual game, mobile game, brain teaser, fun game, logic game, arcade game, competitive game, multiplayer game"
38,Punch Heroes,Karate out the enemies of our lone warrior fighting in the middle. But one miss and it's all over!,Punch_Heroes,Action,"Punch Heroes, game, fighting game, action game, mobile game, arcade game, hero game, combat game, multiplayer, strategy game, competitive game, fighting heroes, punch gameplay, team-based game, online multiplayer, action-packed game"
39,Gerbil Jump,Take the Gerbil to new heights: don't rush or you will fall off the buildings!,Gerbil_Jump,Action,"Gerbil Jump, game, platformer, animal game, arcade, jumping game, adventure game, cute game, casual game, physics-based game, fun, mobile game, obstacle course, pet game, high score, retro style, action game, kids game"
40,Archery Champs,"Here's the most fun online archery game for you! Play against thousands of online players 1 on 1. Choose from multiple bows, arrows, and sights as you go for the bullseye!",Archery_Champs,Racing,"Archery Champs, Archery, Sports Game, Shooting Game, Archery Competition, Action Game, Target Shooting, Bow and Arrow, Arcade Game, Mobile Game, Gaming, Multiplayer Game, Sports Simulation"
41,Slit Sight,Fun precision game where you have to shoot a ball without touching the spinning obstacles.,Slit_Sight,Logic,"Slit Sight, game, action game, strategy game, shooting game, immersive gameplay, multiplayer, tactical shooter, stealth game, combat, war game, first-person shooter, VR game, adventure game, futuristic game"
42,Cuby Dash,"Here's a snake that likes... carrots! Swiftly move left and right, collect as many carrots as you can!",Cuby_Dash,Arcade,"Cuby Dash, game, mobile game, puzzle game, arcade game, casual game, platformer, game design, gaming app, fun gameplay, challenging levels, action game, colorful graphics, adventure game"
43,Jimbo Jump,"Jump from floor to floor, avoid the ghosts! How high can you climb in this endless game?",Jimbo_Jump,Adventure,"Jimbo Jump, game, platformer, action, adventure, arcade, mobile game, jumping game, fun, casual, retro, pixel art, side-scrolling, game design, obstacle course, gameplay, gaming experience"
44,Escape Run,Help the mountain man escape the eyes of media while he peacefully runs in the cold. Collect fruits to buy power-ups for the escape!,Escape_Run,Adventure,"Escape Run, game, adventure, action, puzzle, running game, endless runner, escape, obstacle course, mobile game, strategy, fast-paced, challenge, survival game, gameplay, 3D game, platformer, runner game, thrill, competitive game"
45,Oh Yes,It is a little logic game where you have to fill the grid with either red or blue tiles.,Oh_Yes,Logic,"Oh Yes, Game, Fun Game, Interactive, Multiplayer, Strategy, Casual Game, Board Game, Card Game, Party Game, Puzzle Game, Mobile Game, Engaging, Family Game, Competitive Game"
46,Cricket Gunda,You've got 3 wickets and an audience to impress! Go at it! Make as many runs as you can. Be careful of the bombs and eggs?!,Cricket_Gunda,Sports,"Cricket Game, Sports Game, Arcade Cricket, Multiplayer Cricket, Cricket Simulation, Casual Game, Mobile Game, Competitive Cricket, Virtual Sports, Fun Cricket Game"
47,Trap & Kill Virus,"Kill the virus by capturing areas of the screen. Beware, they multiply fast. Don’t go too close or you die.",Trap_Kill_Virus,Logic,"Trap & Kill Virus, Virus Game, Strategy Game, Puzzle Game, Arcade Game, Brain Teaser, Virus Trap Challenge, Casual Gaming, Mobile Game, Skill-Based Game"
48,Jello Go Round,Change shapes and colors as Mr. Jello goes around the world eating little jelly cubes!,Jello_Go_Round,Logic,"Jello Go Round, Jelly Game, Fun Puzzle Game, Casual Game, Arcade Game, Colorful Gameplay, Brain Teaser, Mobile Game, Addictive Game, Family-Friendly Game"
49,Car Flip,Drive a car on the road: change lanes as obstacles come your way. How hard can it be? Play Car Flip to find out.,Car_Flip,Arcade,"Car Flip, Flip Car Game, Arcade Game, Racing Game, Stunt Driving, Car Jump Game, Casual Game, Vehicle Flipping, 3D Car Game, Mobile Game"
50,Catch-a-pult,Catapult the balls from one launcher to another. Rebounds bring extra points!,Catch_a_pult,Adventure,"Catch-a-pult, Arcade Game, Casual Game, Fun Gameplay, Physics Game, Catapult Game, Catching Challenge, Mobile Game, Skill-Based Game, Interactive Game, Action-Puzzle Game"
51,Skill Shot,"Blast from barrel to barrel avoiding the yellow critters, reach as high as you can.",Skill_Shot,Arcade,"Skill Shot, Arcade Game, Precision Game, Shooting Game, Target Practice, Skill-Based Game, Casual Game, High Score Challenge, Action Game, Reflex Game"
52,Flexi Snake,"It's like the old-school snake but super flexi! If you're a snake game fan, this HTML5 game will delight you!",Flexi_Snake,Arcade,"Flexi Snake, Snake Game, Classic Game, Retro Game, Arcade Game, Casual Game, Fun Gameplay, Puzzle Game, Mobile Game, Addictive Game, Endless Game"
53,Groovy Ski,Ski down the most dangerous slopes without hitting the roadblocks in this endless HTML5 game.,Groovy_Ski,Racing,"Groovy Ski, game, winter sports, skiing, adventure, snowboarding, retro game, ski game, arcade, winter game, action sports, mountain adventure, skiing challenge, 8-bit game, retro arcade, sports gaming"
54,Let Me Grow,Control the water flow to make sure all flowers remain hydrated in this amazing puzzle game.,Let_Me_Grow,Strategy,"Let Me Grow, Puzzle Game, Brain Teaser, Water Flow Game, Strategy Game, Logic Puzzle, Mobile Game, Casual Game, Offline Game, Kids Game, Educational Game"
55,Dribble Kings,Run and find the best trajectory to dodge obstacles. Don't let those quarterbacks take the ball!,Dribble_Kings,Sports,"Sports Game, Football Game, Soccer Dribbling, Mobile Game, Arcade Game, Skill-Based Game, Multiplayer Game, Competitive Sports, Dribbling Challenge, Fun Game"
56,Rock the Dock,Stack the containers on the ship to accommodate most number of containers; try being perfect.,Rock_the_Dock,Arcade,"Rock the Dock, Game, Dockyard Adventure, Puzzle Game, Strategy Game, Multiplayer Game, Waterfront Challenge, Dock Management, Interactive Gameplay, Fun Dock Simulation"
57,Ludo With Friends,Here's the best multiplayer Ludo game! Play with your friends or with thousands of other players online.,Ludo_With_Friends,Strategy,"Ludo Game, Multiplayer Game, Board Game, Casual Game, Strategy Game, Ludo Online, Family Game, Friends Game, Classic Game, Fun Game"
58,Vegetables vs. Chef,Rumour has it that the unforgiving blade has been chopping veggies for years. Break its momentum.,Vegetables_vs_Chef,Arcade,"Vegetables vs. Chef, Game, Fun Game, Strategy Game, Cooking Game, Vegetable Defense, Chef Battle, Arcade Game, Casual Game, Food Fight Game, Action Game, Mobile Game"
59,Zoo Pinball,Here's how they play pinball in the jungle. How long can you prevent your silver balls past the flippers?,Zoo_Pinball,Arcade,"Zoo Pinball, Arcade Game, Animal-Themed Game, Pinball Machine, Casual Game, Fun Gameplay, Wildlife Adventure, Zoo Game, Interactive Pinball, Family-Friendly Game"
60,Carrom Hero,Here's the most fun Carrom game online! Play against thousands of players in 2 unique modes: Freestyle and Professional!,Carrom_Hero,Strategy,"Carrom Hero, Carrom Game, Board Game, Multiplayer Game, Casual Game, Strategy Game, Online Carrom, Mobile Game, Skill-Based Game, Digital Carrom, Fun Game"
61,Juicy Dash,"Juicy, tasty, match-3 madness. Prove your skills and match as many fruits as possible.",Juicy_Dash,Logic,"Juicy Dash, Puzzle Game, Match-3 Game, Casual Game, Mobile Game, Addictive Gameplay, Fruit Matching, Colorful Graphics, Brain Teaser, Arcade Game"
62,Foosball Kick,Foosball with a twist: use the red player when the ball is red and the yellow player when the ball is yellow. Sounds simple? Let's see you score 20 in the game!,Foosball_Kick,Sports,"Foosball, Table Soccer, Foosball Game, Sports Game, Indoor Game, Foosball Kick, Table Game, Competitive Game, Arcade Game, Team Game"
63,Save Your Pinky,Aim the knife between your fingers in this game. No margin for error: inaccuracy causes pain.,Save_Your_Pinky,Strategy,"Save Your Pinky, Arcade Game, Survival Game, Casual Game, Fast-Paced Gameplay, Mobile Game, Finger Challenge, Reflex Game, Fun Game, Interactive Game"
64,Nosedive,They say death is inevitable. But isn't it all about how long you can survive? You are in a plane crashing towards land - survive as long as you can.,Nosedive,Adventure,"Nosedive, Game, Social Game, Party Game, Board Game, Card Game, Satirical Game, Black Mirror Inspired, Strategy Game, Interactive Fun, Competitive Game"
65,Tic Tac Toe,Play the classic Tic Tac Toe online! Play in 3 difficulty modes or challenge thousands of other players online!,Tic_Tac_Toe,Strategy,"Tic Tac Toe, Game, Board Game, Classic Game, Strategy Game, Two Player Game, X and O, Puzzle Game, Fun Game, Family Game, Simple Game, Interactive Game, Competitive Game"
66,Pop Soap,"Classic Match-3 game in Endless Mode and an Achievements mode! Remember, if there's 2 or more of the same kind, you can burst them!",Pop_Soap,Logic,"Pop Soap, Game, Interactive, Mobile Game, Soap Theme, Puzzle Game, Soap Bubbles, Casual Game, Fun Game, Soap Challenge, Puzzle Adventure, Relaxing Game, Game Design"
67,Ooltaa,Defend your base against the incoming enemy horde. Be sure to tap right to kill the filth!,Ooltaa,Action,"Ooltaa, Puzzle Game, Strategy Game, Board Game, Multiplayer, Fun Game, Game Night, Interactive Gameplay, Casual Game, Competitive Play"
68,Astro Knot,Poor creature is stranded on unexplored land. Hop along to explore a beautiful galactic setup!,Astro_Knot,Adventure,"Astro Knot, game, space adventure, puzzle game, sci-fi, astronaut, cosmic journey, space exploration, galaxy, space puzzles, astronaut mission, indie game, strategy game, space-themed game"
69,Sudoku Classic,"Lukogames brings to you one of the most popular brain games - Sudoku! fill a 9×9 grid with numbers so that each row, column and 3×3 section contain all of the digits between 1 and 9",Sudoku_Classic,Logic,"Sudoku Classic, Puzzle Game, Number Game, Brain Teaser, Logic Game, Classic Sudoku, Mind Challenge, Puzzle Solver, Sudoku Grid, Math Puzzle, Game for All Ages, Puzzle Enthusiast"
70,Mirror Me,Mirror Me is a relaxing puzzle game that exercises your brain. You have to reflect symmetric shapes for the patterns shown.,Mirror_Me,Logic,"Mirror Me, game, interactive, augmented reality, mirror game, mobile game, virtual reality, fun experience, puzzle game, reflection game, adventure game, technology, innovative gameplay, entertainment"
71,Drop Me,Help cute creatures to climb into their tubes in this colourfully cute puzzle game for young and old.,Drop_Me,Logic,"Drop Me, game, mobile game, puzzle game, casual game, strategy game, brain teaser, fun game, addictive gameplay, challenge, puzzle-solving, game app, interactive game, creative gameplay, logic game"
72,Cyberfusion,"Numbers merge to make higher numbers, stars blast when merged. The best match-3 HTML5 game!",Cyberfusion,Logic,"Cyberfusion, game, sci-fi, futuristic, action, RPG, multiplayer, technology, cyberpunk, gaming, virtual world, strategy, online game"
73,Saloon Robbery,"Stop the saloon robbery by dropping the wild outlaws one by one, but beware of the hostage situation and lookout for cool bonuses!",Saloon_Robbery,Action,"Saloon Robbery, Wild West, Western Game, Action Game, Adventure Game, Robbery Game, Cowboy Game, Bandit Game, Crime Game, Saloon Heist, Western Adventure, Outlaw Game, Western Action, Historical Game"
74,Jelly Slice,Slice the Jelly so that each slice contains only one star! Get 3 stars for maximum rewards.,Jelly_Slice,Logic,"Jelly Slice, Puzzle Game, Casual Game, Match-3 Game, Mobile Game, Brain Teaser, Colorful Game, Sweet Puzzle, Fun Game, Relaxing Game"
75,Table Tennis Shots,Try your best to keep the ball on the paddle for as long as you can and look out for surprises that will help you on the way to achieve the highest score!,Table_Tennis_Shots,Sports,"Table Tennis, Ping Pong, Sports, Arcade, Skill-Based, Multiplayer, Competitive, Fast-Paced, Ball Game, Racket Sports, Casual Gaming, Reflexes, Shot Accuracy, Fun, Virtual Table Tennis"
76,Dodge Bot,Run along the surface dodging the attack of the bots; hovering over them brings no laurels!,Dodge_Bot,Adventure,"Action, Arcade, Fast-Paced, Skill-Based, Obstacle Dodging, Minimalist, Reflexes, Single Player, Casual, Indie"
77,Tic Tac Toe 11,"Here's a Tic Tac Toe game with a twist! Play in a 11x11 grid, and match 5 to win - vertically, horizontally or diagonally! Create your own tricks to beat the opponent!",Tic_Tac_Toe_11,Logic,"Tic Tac Toe, Strategy Game, Board Game, Two Player, Casual Game, Puzzle, Grid Game, Logic Game, Mind Game, Classic Game, Simple Mechanics, Competitive Game, Family Game"
78,Pixel Zombies,The zombie invasion just hit London. Smash every zombie but don't kill civilians in this zombie game.,Pixel_Zombies,Action,"Pixel Art, Zombies, Survival, Shooter, Retro, Action, Indie, 2D, Casual, Arcade, Single Player, Horror, Fast-Paced"
79,Box Crush,Clear rows and columns before the numbers get to 0. Keep an eye on the progress bar to unlock special power ups!,Box_Crush,Logic,"Puzzle, Casual, Block Matching, Strategy, Brain Teaser, Arcade, Match-3, Addictive, Time Killer, Colorful, Logic Game, Single Player, Skill-based"
80,Jumpy: The First Jumper,Dodge all the random spikes that get in your way to become the best jumper known to early men!,Jumpy_The_First_Jumper,Adventure,"platformer, action, adventure, side-scroller, 2D, casual, single-player, fast-paced, skill-based, indie, retro, jump-and-run, arcade, pixel art"
81,Fly Safe,"A fast-dodging, easy to play but hard to master bird game. Collect as many coins as possible.",Fly_Safe,Arcade,"Flight, Adventure, Arcade, Survival, Space, Flying, High Score, Casual, Skill-Based, Infinite, Obstacle, Single Player, Simulation"
82,Hats Off,Flip the players' hats and land them back on their heads. Hat throw shots are fun!,Hats_Off,Sports,"strategy, multiplayer, party game, competitive, fast-paced, casual, family-friendly, skill-based, fun, social game"
83,Super Sprint,"Sprint and jump over spikes, obstacles, springs, and lasers. Run as long as you can in this HTML5 game.",Super_Sprint,Arcade,"Super Sprint, arcade, racing, retro, classic, 1986, top-down, multiplayer, competitive, fast-paced, sports, cars, racing tracks, 2-player, vintage"
84,Dunk Shot,"Pull, aim, shoot! Jump from hoop to hoop and make a high score. Unlock new balls from the stars you collect!",Dunk_Shot,Sports,"Basketball, Arcade, Sports, Casual, Mobile Game, Multiplayer, Fun, Shooting, Action, Competitive, Endless Gameplay, Strategy, Fun Challenges, Casual Sports, Free-to-Play, Addictive"
85,Grumpy Gorilla,This beast is addicted to chopping trees. Ensure he's on the right side else he'd bang his head!,Grumpy_Gorilla,Arcade,"Grumpy, Gorilla, Adventure, Action, Platformer, Puzzle, Family-friendly, 3D, Jungle, Fun, Exploration, Casual, Comedy, Game, Animals, Indie, Puzzle-solving"
86,Tricky Trip,"Tap to build bridges to get the car moving. But wait! It can't be that simple, can it? Length is key!",Tricky_Trip,Arcade,"#TrickyTrip, #AdventureGame, #Puzzle, #MindBending, #Challenging, #StrategyGame, #BrainTeaser, #Fun, #PuzzleGame, #IndieGame, #Arcade, #Platformer, #Adventure, #CasualGaming"
87,Pie Attack,Shoot the bad guys that are occupying the tower. Take them down and be mindful of the civilians.,Pie_Attack,Action,"action, strategy, arcade, puzzle, casual, multiplayer, food-themed, fun, fast-paced, challenging, colorful, party game, competitive, time-management, reflexes, arcade-style, pie-throwing"
88,Shadow Run,Guide the ninja to move swiftly between pointed obstacles and climb reach great heights!,Shadow_Run,Action,"Shadowrun, Cyberpunk, RPG, Fantasy, Futuristic, Tactical, Turn-based, Sci-fi, Hackers, Dystopian, Magic, Virtual Reality, Neo-noir, Strategy, Action"
89,Fidgety Frog,The frog breaks wind to rise above bars. Help him go higher without getting smashed to smithereens!,Fidgety_Frog,Arcade,"Fidgety Frog, puzzle, casual, frog, reflexes, strategy, action, fun, mobile game, time management, brain teaser, single-player"
90,Cubes Got Moves,Roll over the cubes to their right spots. Cubes have different faces - put the correct faces on the correct spots to win.,Cubes_Got_Moves,Logic,"#PuzzleGame, #Strategy, #Cubes, #3D, #Logic, #CasualGame, #BrainTeaser, #Challenging, #MobileGame"
91,Roblox Quiz Game,"Roblox Quiz Game is a fun and interactive trivia game that tests your knowledge about the world of Roblox! Answer exciting questions about popular games, developers, avatars, and in-game items.",Roblox_Quiz_Game,Quiz,"Roblox Quiz Game, Roblox Trivia, Roblox Challenge, Fun Quiz Game, Roblox Knowledge Test, Avatar Quiz"
92,Free Fire Max Quiz,Test your knowledge of Free Fire MAX with this exciting quiz!,Free_Fire_Max_Quiz,Quiz,"Free Fire Max Quiz, FF Max Trivia, Free Fire Quiz, FF Max Challenge, Gaming Quiz, Battle Royale Quiz, FF Max Trivia Time, FF Max Questions, FF Max Gameplay, Garena FF Quiz"
93,Pk Xd Quiz,"Test your knowledge about PK XD! From building dream houses to exploring futuristic events,",Pk_Xd_Quiz,Quiz,"PK XD Quiz, PK XD Trivia, PK XD Game, PK XD Challenge, Gaming Quiz, Virtual World, PK XD Community, PK XD Questions, PK XD Gameplay, Adventure Game"
